"Cell","Assays"
"T.Tn","Fluorescence imaging cell growth inhibition assay"
"Daoy","Fluorescence imaging cell growth inhibition assay"
"EPLC-272H","Fluorescence imaging cell growth inhibition assay"
"EBC-1","Fluorescence imaging cell growth inhibition assay"
"HARA","Fluorescence imaging cell growth inhibition assay"
"LC-1 sq","Fluorescence imaging cell growth inhibition assay"
"LK-2","Fluorescence imaging cell growth inhibition assay"
"LOU-NH91","Fluorescence imaging cell growth inhibition assay"
"LUDLU-1","Fluorescence imaging cell growth inhibition assay"
"NCI-H2170","Fluorescence imaging cell growth inhibition assay"
"NCI-H520","Fluorescence imaging cell growth inhibition assay"
"RERF-LC-Sq1","Fluorescence imaging cell growth inhibition assay"
"SW 900","Fluorescence imaging cell growth inhibition assay"
"VMRC-LCP","Fluorescence imaging cell growth inhibition assay"
"A-427","Fluorescence imaging cell growth inhibition assay"
"BEN","Fluorescence imaging cell growth inhibition assay"
"CAL-12T","Fluorescence imaging cell growth inhibition assay"
"HCC-366","Fluorescence imaging cell growth inhibition assay"
"HCC-44","Fluorescence imaging cell growth inhibition assay"
"HCC-78","Fluorescence imaging cell growth inhibition assay"
"HCC-827","Fluorescence imaging cell growth inhibition assay"
"NCI-H1299","Fluorescence imaging cell growth inhibition assay"
"NCI-H1435","Fluorescence imaging cell growth inhibition assay"
"NCI-H1568","Fluorescence imaging cell growth inhibition assay"
"NCI-H1650","Fluorescence imaging cell growth inhibition assay"
"NCI-H1869","Fluorescence imaging cell growth inhibition assay"
"NCI-H1944","Fluorescence imaging cell growth inhibition assay"
"NCI-H2085","Fluorescence imaging cell growth inhibition assay"
"NCI-H2110","Fluorescence imaging cell growth inhibition assay"
"NCI-H2135","Fluorescence imaging cell growth inhibition assay"
"NCI-H2172","Fluorescence imaging cell growth inhibition assay"
"NCI-H23","Fluorescence imaging cell growth inhibition assay"
"NCI-H2347","Fluorescence imaging cell growth inhibition assay"
"NCI-H2444","Fluorescence imaging cell growth inhibition assay"
"NCI-H522","Fluorescence imaging cell growth inhibition assay"
"NCI-H838","Fluorescence imaging cell growth inhibition assay"
"NCI-H647","Fluorescence imaging cell growth inhibition assay"
"ABC-1","Fluorescence imaging cell growth inhibition assay"
"COR-L 105","Fluorescence imaging cell growth inhibition assay"
"NCI-H1437","Fluorescence imaging cell growth inhibition assay"
"NCI-H1573","Fluorescence imaging cell growth inhibition assay"
"NCI-H1623","Fluorescence imaging cell growth inhibition assay"
"NCI-H1693","Fluorescence imaging cell growth inhibition assay"
"NCI-H1734","Fluorescence imaging cell growth inhibition assay"
"NCI-H1755","Fluorescence imaging cell growth inhibition assay"
"NCI-H1781","Fluorescence imaging cell growth inhibition assay"
"NCI-H1792","Fluorescence imaging cell growth inhibition assay"
"NCI-H1793","Fluorescence imaging cell growth inhibition assay"
"NCI-H1993","Fluorescence imaging cell growth inhibition assay"
"NCI-H2009","Fluorescence imaging cell growth inhibition assay"
"NCI-H2030","Fluorescence imaging cell growth inhibition assay"
"NCI-H2087","Fluorescence imaging cell growth inhibition assay"
"NCI-H2122","Fluorescence imaging cell growth inhibition assay"
"NCI-H2228","Fluorescence imaging cell growth inhibition assay"
"NCI-H2291","Fluorescence imaging cell growth inhibition assay"
"NCI-H2342","Fluorescence imaging cell growth inhibition assay"
"NCI-H2405","Fluorescence imaging cell growth inhibition assay"
"PC-14","Fluorescence imaging cell growth inhibition assay"
"RERF-LC-Ad1","Fluorescence imaging cell growth inhibition assay"
"RERF-LC-KJ","Fluorescence imaging cell growth inhibition assay"
"NCI-H358","Fluorescence imaging cell growth inhibition assay"
"NCI-H650","Fluorescence imaging cell growth inhibition assay"
"NCI-H3122","Fluorescence imaging cell growth inhibition assay"
"SW 13","Fluorescence imaging cell growth inhibition assay"
"FTC-133","Fluorescence imaging cell growth inhibition assay"
"FTC-238","Fluorescence imaging cell growth inhibition assay"
"ML-1","Fluorescence imaging cell growth inhibition assay"
"RO82-W-1","Fluorescence imaging cell growth inhibition assay"
"TT2609-C02","Fluorescence imaging cell growth inhibition assay"
"ASH-3","Fluorescence imaging cell growth inhibition assay"
"CAL-62","Fluorescence imaging cell growth inhibition assay"
"KMH-2","Fluorescence imaging cell growth inhibition assay"
"8305C","Fluorescence imaging cell growth inhibition assay"
"8505C","Fluorescence imaging cell growth inhibition assay"
"B-CPAP","Fluorescence imaging cell growth inhibition assay"
"BHT-101","Fluorescence imaging cell growth inhibition assay"
"HTC-C3","Fluorescence imaging cell growth inhibition assay"
"IHH-4","Fluorescence imaging cell growth inhibition assay"
"A2780ADR","Fluorescence imaging cell growth inhibition assay"
"FU-OV-1","Fluorescence imaging cell growth inhibition assay"
"OAW28","Fluorescence imaging cell growth inhibition assay"
"OAW42","Fluorescence imaging cell growth inhibition assay"
"1A6","Fluorescence imaging cell growth inhibition assay"
"EJ138","Fluorescence imaging cell growth inhibition assay"
"RT112/84","Fluorescence imaging cell growth inhibition assay"
"BFTC-905","Fluorescence imaging cell growth inhibition assay"
"CAL-29","Fluorescence imaging cell growth inhibition assay"
"HT 1376","Fluorescence imaging cell growth inhibition assay"
"HT-1197","Fluorescence imaging cell growth inhibition assay"
"J82","Fluorescence imaging cell growth inhibition assay"
"KU-19-19","Fluorescence imaging cell growth inhibition assay"
"RT-112","Fluorescence imaging cell growth inhibition assay"
"RT4","Fluorescence imaging cell growth inhibition assay"
"SW 780","Fluorescence imaging cell growth inhibition assay"
"SW-1710","Fluorescence imaging cell growth inhibition assay"
"TCCSUP","Fluorescence imaging cell growth inhibition assay"
"UM-UC-3","Fluorescence imaging cell growth inhibition assay"
"VM-CUB1","Fluorescence imaging cell growth inhibition assay"
"KP-3","Fluorescence imaging cell growth inhibition assay"
"KP-3L","Fluorescence imaging cell growth inhibition assay"
"KP-4","Fluorescence imaging cell growth inhibition assay"
"PANC-1","Fluorescence imaging cell growth inhibition assay"
"PL45","Fluorescence imaging cell growth inhibition assay"
"KP-2","Fluorescence imaging cell growth inhibition assay"
"SUIT-2","Fluorescence imaging cell growth inhibition assay"
"AsPC-1","Fluorescence imaging cell growth inhibition assay"
"BxPC-3","Fluorescence imaging cell growth inhibition assay"
"Capan-1","Fluorescence imaging cell growth inhibition assay"
"Capan-2","Fluorescence imaging cell growth inhibition assay"
"DAN-G","Fluorescence imaging cell growth inhibition assay"
"HPAC","Fluorescence imaging cell growth inhibition assay"
"HPAF-II","Fluorescence imaging cell growth inhibition assay"
"Hs 766T","Fluorescence imaging cell growth inhibition assay"
"MIA PaCa-2","Fluorescence imaging cell growth inhibition assay"
"Panc 02.03","Fluorescence imaging cell growth inhibition assay"
"Panc 03.27","Fluorescence imaging cell growth inhibition assay"
"Panc 04.03","Fluorescence imaging cell growth inhibition assay"
"Panc 08.13","Fluorescence imaging cell growth inhibition assay"
"Panc 10.05","Fluorescence imaging cell growth inhibition assay"
"PA-TU-8902","Fluorescence imaging cell growth inhibition assay"
"PA-TU-8988S","Fluorescence imaging cell growth inhibition assay"
"PA-TU-8988T","Fluorescence imaging cell growth inhibition assay"
"SU.86.86","Fluorescence imaging cell growth inhibition assay"
"G-402","Fluorescence imaging cell growth inhibition assay"
"GCT","Fluorescence imaging cell growth inhibition assay"
"QGP-1","Fluorescence imaging cell growth inhibition assay"
"ACHN","Fluorescence imaging cell growth inhibition assay"
"CAL-54","Fluorescence imaging cell growth inhibition assay"
"SW 156","Fluorescence imaging cell growth inhibition assay"
"VMRC-RCW","Fluorescence imaging cell growth inhibition assay"
"VMRC-RCZ","Fluorescence imaging cell growth inhibition assay"
"769-P","Fluorescence imaging cell growth inhibition assay"
"786-O","Fluorescence imaging cell growth inhibition assay"
"Caki-1","Fluorescence imaging cell growth inhibition assay"
"KMRC-1","Fluorescence imaging cell growth inhibition assay"
"MSTO-211H","Fluorescence imaging cell growth inhibition assay"
"S-117","Fluorescence imaging cell growth inhibition assay"
"COR-L 23/CPR","Fluorescence imaging cell growth inhibition assay"
"LCLC-103H","Fluorescence imaging cell growth inhibition assay"
"LCLC-97TM1","Fluorescence imaging cell growth inhibition assay"
"NCI-H1581","Fluorescence imaging cell growth inhibition assay"
"NCI-H460","Fluorescence imaging cell growth inhibition assay"
"NCI-H661","Fluorescence imaging cell growth inhibition assay"
"EGI-1","Fluorescence imaging cell growth inhibition assay"
"HuCCT1","Fluorescence imaging cell growth inhibition assay"
"HUP-T3","Fluorescence imaging cell growth inhibition assay"
"HUP-T4","Fluorescence imaging cell growth inhibition assay"
"OE19","Fluorescence imaging cell growth inhibition assay"
"OE33","Fluorescence imaging cell growth inhibition assay"
"NCI-H322","Fluorescence imaging cell growth inhibition assay"
"SW 1573","Fluorescence imaging cell growth inhibition assay"
"OCUG-1","Fluorescence imaging cell growth inhibition assay"
"KG-1-C","Fluorescence imaging cell growth inhibition assay"
"SK-NEP-1","Fluorescence imaging cell growth inhibition assay"
"RKN","Fluorescence imaging cell growth inhibition assay"
"SKG-IIIa","Fluorescence imaging cell growth inhibition assay"
"ES-2","Fluorescence imaging cell growth inhibition assay"
"DMS 273","Fluorescence imaging cell growth inhibition assay"
"DMS 53","Fluorescence imaging cell growth inhibition assay"
"Lu-135","Fluorescence imaging cell growth inhibition assay"
"NCI-H1048","Fluorescence imaging cell growth inhibition assay"
"NCI-H1688","Fluorescence imaging cell growth inhibition assay"
"NCI-H1876","Fluorescence imaging cell growth inhibition assay"
"NCI-H196","Fluorescence imaging cell growth inhibition assay"
"NCI-H2029","Fluorescence imaging cell growth inhibition assay"
"NCI-H2195","Fluorescence imaging cell growth inhibition assay"
"NCI-H2196","Fluorescence imaging cell growth inhibition assay"
"NCI-H2198","Fluorescence imaging cell growth inhibition assay"
"NCI-H2286","Fluorescence imaging cell growth inhibition assay"
"NCI-H841","Fluorescence imaging cell growth inhibition assay"
"RERF-LC-MA","Fluorescence imaging cell growth inhibition assay"
"SBC-5","Fluorescence imaging cell growth inhibition assay"
"SCLC-21H","Fluorescence imaging cell growth inhibition assay"
"SHP-77","Fluorescence imaging cell growth inhibition assay"
"SW 1271","Fluorescence imaging cell growth inhibition assay"
"H69V","Fluorescence imaging cell growth inhibition assay"
"KHM-3S","Fluorescence imaging cell growth inhibition assay"
"Lu-134-A-H","Fluorescence imaging cell growth inhibition assay"
"STC 1","Fluorescence imaging cell growth inhibition assay"
"SBC-3","Fluorescence imaging cell growth inhibition assay"
"RPMI 2650","Fluorescence imaging cell growth inhibition assay"
"HGC-27","Fluorescence imaging cell growth inhibition assay"
"Hs 746T","Fluorescence imaging cell growth inhibition assay"
"IM-95","Fluorescence imaging cell growth inhibition assay"
"MKN7","Fluorescence imaging cell growth inhibition assay"
"NCI-N87","Fluorescence imaging cell growth inhibition assay"
"NUGC-3","Fluorescence imaging cell growth inhibition assay"
"SNU-1","Fluorescence imaging cell growth inhibition assay"
"SNU-16","Fluorescence imaging cell growth inhibition assay"
"SNU-5","Fluorescence imaging cell growth inhibition assay"
"NUGC-2","Fluorescence imaging cell growth inhibition assay"
"NCC-IT-A3","Fluorescence imaging cell growth inhibition assay"
"LU65","Fluorescence imaging cell growth inhibition assay"
"LU65A","Fluorescence imaging cell growth inhibition assay"
"LU65B","Fluorescence imaging cell growth inhibition assay"
"LU65C","Fluorescence imaging cell growth inhibition assay"
"LU99A","Fluorescence imaging cell growth inhibition assay"
"LU99B","Fluorescence imaging cell growth inhibition assay"
"LU99C","Fluorescence imaging cell growth inhibition assay"
"NCI-H441","Fluorescence imaging cell growth inhibition assay"
"MKN1","Fluorescence imaging cell growth inhibition assay"
"TOV-112D","Fluorescence imaging cell growth inhibition assay"
"BFTC-909","Fluorescence imaging cell growth inhibition assay"
"MKN28","Fluorescence imaging cell growth inhibition assay"
"Hep 3B2.1-7","Fluorescence imaging cell growth inhibition assay"
"C3A","Fluorescence imaging cell growth inhibition assay"
"JHH-1","Fluorescence imaging cell growth inhibition assay"
"JHH-2","Fluorescence imaging cell growth inhibition assay"
"JHH-4","Fluorescence imaging cell growth inhibition assay"
"JHH-7","Fluorescence imaging cell growth inhibition assay"
"SNU-182","Fluorescence imaging cell growth inhibition assay"
"SNU-387","Fluorescence imaging cell growth inhibition assay"
"SNU-398","Fluorescence imaging cell growth inhibition assay"
"SNU-423","Fluorescence imaging cell growth inhibition assay"
"SNU-449","Fluorescence imaging cell growth inhibition assay"
"SNU-475","Fluorescence imaging cell growth inhibition assay"
"HLE","Fluorescence imaging cell growth inhibition assay"
"huH-1","Fluorescence imaging cell growth inhibition assay"
"SK-HEP-1","Fluorescence imaging cell growth inhibition assay"
"PLC/PRF/5","Fluorescence imaging cell growth inhibition assay"
"639-V","Fluorescence imaging cell growth inhibition assay"
"MDA-MB-330","Fluorescence imaging cell growth inhibition assay"
"TGW","Fluorescence imaging cell growth inhibition assay"
"BE(2)-C","Fluorescence imaging cell growth inhibition assay"
"CHP-212","Fluorescence imaging cell growth inhibition assay"
"IMR-32","Fluorescence imaging cell growth inhibition assay"
"KELLY","Fluorescence imaging cell growth inhibition assay"
"MC-IXC","Fluorescence imaging cell growth inhibition assay"
"SCCH-26","Fluorescence imaging cell growth inhibition assay"
"SK-N-AS","Fluorescence imaging cell growth inhibition assay"
"SK-N-DZ","Fluorescence imaging cell growth inhibition assay"
"SK-N-SH","Fluorescence imaging cell growth inhibition assay"
"NB69","Fluorescence imaging cell growth inhibition assay"
"NUGC-4","Fluorescence imaging cell growth inhibition assay"
"OCUM-1","Fluorescence imaging cell growth inhibition assay"
"621-101","Fluorescence imaging cell growth inhibition assay"
"MY","Fluorescence imaging cell growth inhibition assay"
"MY-M12","Fluorescence imaging cell growth inhibition assay"
"MY-M13","Fluorescence imaging cell growth inhibition assay"
"KY821","Fluorescence imaging cell growth inhibition assay"
"BALL-1","Fluorescence imaging cell growth inhibition assay"
"CCRF-SB","Fluorescence imaging cell growth inhibition assay"
"NALM-6","Fluorescence imaging cell growth inhibition assay"
"U-698-M","Fluorescence imaging cell growth inhibition assay"
"MHH-CALL-2","Fluorescence imaging cell growth inhibition assay"
"MN-60","Fluorescence imaging cell growth inhibition assay"
"C8166","Fluorescence imaging cell growth inhibition assay"
"CCRF-CEM","Fluorescence imaging cell growth inhibition assay"
"CTV-1","Fluorescence imaging cell growth inhibition assay"
"J.RT3-T3.5","Fluorescence imaging cell growth inhibition assay"
"KARPAS-45","Fluorescence imaging cell growth inhibition assay"
"KE-37","Fluorescence imaging cell growth inhibition assay"
"Loucy","Fluorescence imaging cell growth inhibition assay"
"MOLT-16","Fluorescence imaging cell growth inhibition assay"
"MOLT-4","Fluorescence imaging cell growth inhibition assay"
"P12-ICHIKAWA","Fluorescence imaging cell growth inhibition assay"
"PF-382","Fluorescence imaging cell growth inhibition assay"
"RPMI-8402","Fluorescence imaging cell growth inhibition assay"
"SUP-T1","Fluorescence imaging cell growth inhibition assay"
"TALL-1","Fluorescence imaging cell growth inhibition assay"
"ATN-1","Fluorescence imaging cell growth inhibition assay"
"A3","Fluorescence imaging cell growth inhibition assay"
"I 2.1","Fluorescence imaging cell growth inhibition assay"
"I 9.2","Fluorescence imaging cell growth inhibition assay"
"J45.01","Fluorescence imaging cell growth inhibition assay"
"Jurkat, Clone E6-1","Fluorescence imaging cell growth inhibition assay"
"MOLT-4F","Fluorescence imaging cell growth inhibition assay"
"P116.cl39","Fluorescence imaging cell growth inhibition assay"
"AGR-ON","Fluorescence imaging cell growth inhibition assay"
"CEM/C1","Fluorescence imaging cell growth inhibition assay"
"CEM/C2","Fluorescence imaging cell growth inhibition assay"
"DND-41","Fluorescence imaging cell growth inhibition assay"
"LC4-1","Fluorescence imaging cell growth inhibition assay"
"P30/OHK","Fluorescence imaging cell growth inhibition assay"
"Reh","Fluorescence imaging cell growth inhibition assay"
"RS4;11","Fluorescence imaging cell growth inhibition assay"
"SUP-B15","Fluorescence imaging cell growth inhibition assay"
"ALL-PO","Fluorescence imaging cell growth inhibition assay"
"BE-13","Fluorescence imaging cell growth inhibition assay"
"GR-ST","Fluorescence imaging cell growth inhibition assay"
"HAL-01","Fluorescence imaging cell growth inhibition assay"
"HCE-T","Fluorescence imaging cell growth inhibition assay"
"SK-PN-DW","Fluorescence imaging cell growth inhibition assay"
"BDCM","Fluorescence imaging cell growth inhibition assay"
"CESS","Fluorescence imaging cell growth inhibition assay"
"CMK","Fluorescence imaging cell growth inhibition assay"
"GDM-1","Fluorescence imaging cell growth inhibition assay"
"HEL","Fluorescence imaging cell growth inhibition assay"
"Kasumi-1","Fluorescence imaging cell growth inhibition assay"
"KG-1","Fluorescence imaging cell growth inhibition assay"
"KG-1a","Fluorescence imaging cell growth inhibition assay"
"KMOE-2","Fluorescence imaging cell growth inhibition assay"
"ME-1","Fluorescence imaging cell growth inhibition assay"
"ML-2","Fluorescence imaging cell growth inhibition assay"
"MOLM-13","Fluorescence imaging cell growth inhibition assay"
"MONO-MAC-1","Fluorescence imaging cell growth inhibition assay"
"MONO-MAC-6","Fluorescence imaging cell growth inhibition assay"
"NOMO-1/ADM","Fluorescence imaging cell growth inhibition assay"
"OCI-AML2","Fluorescence imaging cell growth inhibition assay"
"OCI-AML3","Fluorescence imaging cell growth inhibition assay"
"OCI-AML5","Fluorescence imaging cell growth inhibition assay"
"OCI-M1","Fluorescence imaging cell growth inhibition assay"
"P31/FUJ","Fluorescence imaging cell growth inhibition assay"
"PL-21","Fluorescence imaging cell growth inhibition assay"
"SIG-M5","Fluorescence imaging cell growth inhibition assay"
"NKM-1","Fluorescence imaging cell growth inhibition assay"
"QIMR-WIL","Fluorescence imaging cell growth inhibition assay"
"HEL 92.1.7","Fluorescence imaging cell growth inhibition assay"
"TF-1","Fluorescence imaging cell growth inhibition assay"
"TF-1.CN5a.1","Fluorescence imaging cell growth inhibition assay"
"TF-1a","Fluorescence imaging cell growth inhibition assay"
"KO52","Fluorescence imaging cell growth inhibition assay"
"Clone 15 HL-60","Fluorescence imaging cell growth inhibition assay"
"HL60(S)","Fluorescence imaging cell growth inhibition assay"
"HL-60/MX2","Fluorescence imaging cell growth inhibition assay"
"NB-4","Fluorescence imaging cell growth inhibition assay"
"EHEB","Fluorescence imaging cell growth inhibition assay"
"HC-1","Fluorescence imaging cell growth inhibition assay"
"KARPAS-231","Fluorescence imaging cell growth inhibition assay"
"KOPN-8","Fluorescence imaging cell growth inhibition assay"
"MEC-1","Fluorescence imaging cell growth inhibition assay"
"MEC-2","Fluorescence imaging cell growth inhibition assay"
"MLMA","Fluorescence imaging cell growth inhibition assay"
"MV-4-11","Fluorescence imaging cell growth inhibition assay"
"NALM-19","Fluorescence imaging cell growth inhibition assay"
"ROS-50","Fluorescence imaging cell growth inhibition assay"
"TANOUE","Fluorescence imaging cell growth inhibition assay"
"Mo-T","Fluorescence imaging cell growth inhibition assay"
"JVM-2","Fluorescence imaging cell growth inhibition assay"
"JVM-3","Fluorescence imaging cell growth inhibition assay"
"JURL-MK1","Fluorescence imaging cell growth inhibition assay"
"JURL-MK2","Fluorescence imaging cell growth inhibition assay"
"K-562","Fluorescence imaging cell growth inhibition assay"
"K562/ADM","Fluorescence imaging cell growth inhibition assay"
"KCL-22","Fluorescence imaging cell growth inhibition assay"
"KU812","Fluorescence imaging cell growth inhibition assay"
"KU812E","Fluorescence imaging cell growth inhibition assay"
"KU812F","Fluorescence imaging cell growth inhibition assay"
"LAMA-84","Fluorescence imaging cell growth inhibition assay"
"MEG-01","Fluorescence imaging cell growth inhibition assay"
"BV-173","Fluorescence imaging cell growth inhibition assay"
"EM-2","Fluorescence imaging cell growth inhibition assay"
"RPMI-8866","Fluorescence imaging cell growth inhibition assay"
"ECC4","Fluorescence imaging cell growth inhibition assay"
"DERL-2","Fluorescence imaging cell growth inhibition assay"
"KARPAS-299","Fluorescence imaging cell growth inhibition assay"
"CTB-1","Fluorescence imaging cell growth inhibition assay"
"DB","Fluorescence imaging cell growth inhibition assay"
"KARPAS-422","Fluorescence imaging cell growth inhibition assay"
"OCI-LY-19","Fluorescence imaging cell growth inhibition assay"
"Pfeiffer","Fluorescence imaging cell growth inhibition assay"
"REC-1","Fluorescence imaging cell growth inhibition assay"
"Toledo","Fluorescence imaging cell growth inhibition assay"
"GRANTA-519","Fluorescence imaging cell growth inhibition assay"
"NK-92MI","Fluorescence imaging cell growth inhibition assay"
"SCC-3","Fluorescence imaging cell growth inhibition assay"
"SR","Fluorescence imaging cell growth inhibition assay"
"CI-1","Fluorescence imaging cell growth inhibition assay"
"Farage","Fluorescence imaging cell growth inhibition assay"
"NU-DUL-1","Fluorescence imaging cell growth inhibition assay"
"RL","Fluorescence imaging cell growth inhibition assay"
"SU-DHL-10","Fluorescence imaging cell growth inhibition assay"
"SU-DHL-16","Fluorescence imaging cell growth inhibition assay"
"SU-DHL-4","Fluorescence imaging cell growth inhibition assay"
"SU-DHL-5","Fluorescence imaging cell growth inhibition assay"
"SU-DHL-6","Fluorescence imaging cell growth inhibition assay"
"SU-DHL-8","Fluorescence imaging cell growth inhibition assay"
"MHH-PREB-1","Fluorescence imaging cell growth inhibition assay"
"HH","Fluorescence imaging cell growth inhibition assay"
"MJ","Fluorescence imaging cell growth inhibition assay"
"DOHH-2","Fluorescence imaging cell growth inhibition assay"
"H9","Fluorescence imaging cell growth inhibition assay"
"A3/KAW","Fluorescence imaging cell growth inhibition assay"
"EC-GI-10","Fluorescence imaging cell growth inhibition assay"
"SW962","Fluorescence imaging cell growth inhibition assay"
"NCI-H720","Fluorescence imaging cell growth inhibition assay"
"CL-11","Fluorescence imaging cell growth inhibition assay"
"RKO","Fluorescence imaging cell growth inhibition assay"
"Gp2D","Fluorescence imaging cell growth inhibition assay"
"COLO-320-HSR","Fluorescence imaging cell growth inhibition assay"
"CW-2","Fluorescence imaging cell growth inhibition assay"
"HCC2998","Fluorescence imaging cell growth inhibition assay"
"KM12","Fluorescence imaging cell growth inhibition assay"
"LS-123","Fluorescence imaging cell growth inhibition assay"
"SNU-C1","Fluorescence imaging cell growth inhibition assay"
"SW403","Fluorescence imaging cell growth inhibition assay"
"IST-MES1","Fluorescence imaging cell growth inhibition assay"
"MPP-89","Fluorescence imaging cell growth inhibition assay"
"SK-MEL-3","Fluorescence imaging cell growth inhibition assay"
"A101D","Fluorescence imaging cell growth inhibition assay"
"A4-Fuk","Fluorescence imaging cell growth inhibition assay"
"COLO-829","Fluorescence imaging cell growth inhibition assay"
"CP50-MEL-B","Fluorescence imaging cell growth inhibition assay"
"CP66-MEL","Fluorescence imaging cell growth inhibition assay"
"GAK","Fluorescence imaging cell growth inhibition assay"
"HT-144","Fluorescence imaging cell growth inhibition assay"
"LB2518-MEL","Fluorescence imaging cell growth inhibition assay"
"LB373-MEL-D","Fluorescence imaging cell growth inhibition assay"
"MZ2-MEL","Fluorescence imaging cell growth inhibition assay"
"SH-4","Fluorescence imaging cell growth inhibition assay"
"SK-MEL-24","Fluorescence imaging cell growth inhibition assay"
"SK-MEL-5","Fluorescence imaging cell growth inhibition assay"
"UACC-257","Fluorescence imaging cell growth inhibition assay"
"SW954","Fluorescence imaging cell growth inhibition assay"
"KGN","Fluorescence imaging cell growth inhibition assay"
"DU4475","Fluorescence imaging cell growth inhibition assay"
"HCC1599","Fluorescence imaging cell growth inhibition assay"
"HCC2157","Fluorescence imaging cell growth inhibition assay"
"HCC2218","Fluorescence imaging cell growth inhibition assay"
"LS-1034","Fluorescence imaging cell growth inhibition assay"
"LS-411N","Fluorescence imaging cell growth inhibition assay"
"LS-513","Fluorescence imaging cell growth inhibition assay"
"NCI-H747","Fluorescence imaging cell growth inhibition assay"
"SNU-C2B","Fluorescence imaging cell growth inhibition assay"
"A388","Fluorescence imaging cell growth inhibition assay"
"TGBC1TKB","Fluorescence imaging cell growth inhibition assay"
"TGBC24TKB","Fluorescence imaging cell growth inhibition assay"
"M059K","Fluorescence imaging cell growth inhibition assay"
"SNB-19","Fluorescence imaging cell growth inhibition assay"
"8-MG-BA","Fluorescence imaging cell growth inhibition assay"
"AM-38","Fluorescence imaging cell growth inhibition assay"
"B2-17","Fluorescence imaging cell growth inhibition assay"
"Becker","Fluorescence imaging cell growth inhibition assay"
"CAS-1","Fluorescence imaging cell growth inhibition assay"
"D-247MG","Fluorescence imaging cell growth inhibition assay"
"D-263MG","Fluorescence imaging cell growth inhibition assay"
"D-336MG","Fluorescence imaging cell growth inhibition assay"
"D-392MG","Fluorescence imaging cell growth inhibition assay"
"D-423MG","Fluorescence imaging cell growth inhibition assay"
"D-502MG","Fluorescence imaging cell growth inhibition assay"
"D-542MG","Fluorescence imaging cell growth inhibition assay"
"D-566MG","Fluorescence imaging cell growth inhibition assay"
"GB-1","Fluorescence imaging cell growth inhibition assay"
"GI-1","Fluorescence imaging cell growth inhibition assay"
"KALS-1","Fluorescence imaging cell growth inhibition assay"
"KINGS-1","Fluorescence imaging cell growth inhibition assay"
"KNS-42","Fluorescence imaging cell growth inhibition assay"
"KNS-81-FD","Fluorescence imaging cell growth inhibition assay"
"KS-1","Fluorescence imaging cell growth inhibition assay"
"NMC-G1","Fluorescence imaging cell growth inhibition assay"
"no-10","Fluorescence imaging cell growth inhibition assay"
"no-11","Fluorescence imaging cell growth inhibition assay"
"SF126","Fluorescence imaging cell growth inhibition assay"
"SF268","Fluorescence imaging cell growth inhibition assay"
"SF539","Fluorescence imaging cell growth inhibition assay"
"SK-MG-1","Fluorescence imaging cell growth inhibition assay"
"YH-13","Fluorescence imaging cell growth inhibition assay"
"DJM-1","Fluorescence imaging cell growth inhibition assay"
"KYM-1","Fluorescence imaging cell growth inhibition assay"
"TE-441-T","Fluorescence imaging cell growth inhibition assay"
"RH-30","Fluorescence imaging cell growth inhibition assay"
"RH-41","Fluorescence imaging cell growth inhibition assay"
"NOS-1","Fluorescence imaging cell growth inhibition assay"
"SJSA-1","Fluorescence imaging cell growth inhibition assay"
"TC-71","Fluorescence imaging cell growth inhibition assay"
"ES1","Fluorescence imaging cell growth inhibition assay"
"ES3","Fluorescence imaging cell growth inhibition assay"
"ES4","Fluorescence imaging cell growth inhibition assay"
"ES5","Fluorescence imaging cell growth inhibition assay"
"ES6","Fluorescence imaging cell growth inhibition assay"
"ES7","Fluorescence imaging cell growth inhibition assay"
"ES8","Fluorescence imaging cell growth inhibition assay"
"EW-1","Fluorescence imaging cell growth inhibition assay"
"EW-11","Fluorescence imaging cell growth inhibition assay"
"EW-13","Fluorescence imaging cell growth inhibition assay"
"EW-16","Fluorescence imaging cell growth inhibition assay"
"EW-18","Fluorescence imaging cell growth inhibition assay"
"EW-24","Fluorescence imaging cell growth inhibition assay"
"EW-3","Fluorescence imaging cell growth inhibition assay"
"EW-7","Fluorescence imaging cell growth inhibition assay"
"RH-1","Fluorescence imaging cell growth inhibition assay"
"SW872","Fluorescence imaging cell growth inhibition assay"
"MRK-nu-1","Fluorescence imaging cell growth inhibition assay"
"YMB-1","Fluorescence imaging cell growth inhibition assay"
"OCUB-M","Fluorescence imaging cell growth inhibition assay"
"SW684","Fluorescence imaging cell growth inhibition assay"
"JEG-3","Fluorescence imaging cell growth inhibition assay"
"COLO 684","Fluorescence imaging cell growth inhibition assay"
"KLE","Fluorescence imaging cell growth inhibition assay"
"SK-UT-1","Fluorescence imaging cell growth inhibition assay"
"OC-314","Fluorescence imaging cell growth inhibition assay"
"COLO-704","Fluorescence imaging cell growth inhibition assay"
"MC/CAR","Fluorescence imaging cell growth inhibition assay"
"AMO-1","Fluorescence imaging cell growth inhibition assay"
"BOKU","Fluorescence imaging cell growth inhibition assay"
"OMC-1","Fluorescence imaging cell growth inhibition assay"
"HCE-4","Fluorescence imaging cell growth inhibition assay"
"TE-1","Fluorescence imaging cell growth inhibition assay"
"TE-10","Fluorescence imaging cell growth inhibition assay"
"TE-11","Fluorescence imaging cell growth inhibition assay"
"TE-12","Fluorescence imaging cell growth inhibition assay"
